t, c	M(t), рад	E(t), рад	Theta(t), рад	
620	0.0901753	0.257321	0.55389
621	0.0903208	0.257719	0.554712
622	0.0904662	0.258117	0.555534
623	0.0906117	0.258515	0.556357
624	0.0907571	0.258913	0.557179
625	0.0909026	0.259311	0.558
626	0.091048	0.259704	0.558811
627	0.0911935	0.260102	0.559633
628	0.0913389	0.2605	0.560454
629	0.0914843	0.260898	0.561275
630	0.0916298	0.261296	0.562096
631	0.0917752	0.261694	0.562917
632	0.0919207	0.262091	0.563738
633	0.0920661	0.262489	0.564559
634	0.0922116	0.262887	0.565379
635	0.092357	0.263285	0.566199
636	0.0925025	0.263683	0.567019
637	0.0926479	0.264095	0.567868
638	0.0927933	0.264493	0.568688
639	0.0929388	0.264891	0.569508
640	0.0930842	0.265289	0.570328
641	0.0932297	0.265687	0.571147
642	0.0933751	0.266085	0.571966
643	0.0935206	0.26646	0.572738
644	0.093666	0.266853	0.573546
645	0.0938114	0.267251	0.574365
646	0.0939569	0.267649	0.575184
647	0.0941023	0.268047	0.576002
648	0.0942478	0.268445	0.576821
649	0.0943932	0.268843	0.577639
650	0.0945387	0.269241	0.578457
651	0.0946841	0.269638	0.579275
652	0.0948296	0.270036	0.580092
653	0.094975	0.270434	0.58091
654	0.0951204	0.270824	0.581709
655	0.0952659	0.271222	0.582527
656	0.0954113	0.27162	0.583344
657	0.0955568	0.272017	0.584161
658	0.0957022	0.272415	0.584978
659	0.0958477	0.272813	0.585794
660	0.0959931	0.273211	0.586611
661	0.0961386	0.273609	0.587427
662	0.096284	0.273993	0.588214
663	0.0964294	0.274391	0.58903
664	0.0965749	0.274789	0.589846
665	0.0967203	0.275187	0.590662
666	0.0968658	0.275585	0.591477
667	0.0970112	0.275983	0.592293
668	0.0971567	0.276381	0.593108
669	0.0973021	0.276751	0.593865
670	0.0974475	0.277149	0.59468
671	0.097593	0.277547	0.595495
672	0.0977384	0.277944	0.59631
673	0.0978839	0.278342	0.597124
674	0.0980293	0.278732	0.59792
675	0.0981748	0.27913	0.598735
676	0.0983202	0.279528	0.599549
677	0.0984657	0.279926	0.600362
678	0.0986111	0.280324	0.601176
679	0.0987565	0.280721	0.601989
680	0.098902	0.281091	0.602745
681	0.0990474	0.281489	0.603558
682	0.0991929	0.281887	0.604371
683	0.0993383	0.282285	0.605184
684	0.0994838	0.282674	0.605979
685	0.0996292	0.283072	0.606792
686	0.0997747	0.28347	0.607604
687	0.0999201	0.283868	0.608416
688	0.100066	0.284266	0.609228
689	0.100211	0.284636	0.609983
690	0.100356	0.285034	0.610795
691	0.100502	0.285432	0.611606
692	0.100647	0.285821	0.6124
693	0.100793	0.286219	0.613211
694	0.100938	0.286617	0.614022
695	0.101084	0.287015	0.614833
696	0.101229	0.287413	0.615644
697	0.101375	0.287783	0.616397
698	0.10152	0.288181	0.617208
699	0.101665	0.288579	0.618018
700	0.101811	0.288968	0.618811
701	0.101956	0.289366	0.619621
702	0.102102	0.289764	0.62043
703	0.102247	0.290162	0.62124
704	0.102393	0.290532	0.621992
705	0.102538	0.290929	0.622802
706	0.102684	0.291319	0.623593
707	0.102829	0.291717	0.624402
708	0.102974	0.292115	0.625211
709	0.10312	0.292513	0.62602
710	0.103265	0.292882	0.626771
711	0.103411	0.29328	0.627579
712	0.103556	0.29367	0.62837
713	0.103702	0.294068	0.629178
714	0.103847	0.294466	0.629986
715	0.103993	0.294863	0.630794
716	0.104138	0.295233	0.631544
717	0.104283	0.295631	0.632351
718	0.104429	0.29602	0.633141
719	0.104574	0.296418	0.633948
720	0.10472	0.296816	0.634755
721	0.104865	0.297186	0.635505
722	0.105011	0.297584	0.636311
723	0.105156	0.297973	0.6371
724	0.105302	0.298371	0.637906
725	0.105447	0.298769	0.638712
726	0.105592	0.299167	0.639518
727	0.105738	0.299537	0.640267
728	0.105883	0.299935	0.641073
