t, c	M(t), рад	E(t), рад	Theta(t), рад	
562	0.0817396	0.234081	0.505606
563	0.081885	0.234479	0.506435
564	0.0820305	0.234887	0.507288
565	0.0821759	0.235285	0.508117
566	0.0823214	0.235693	0.50897
567	0.0824668	0.23609	0.509799
568	0.0826123	0.236488	0.510628
569	0.0827577	0.236896	0.51148
570	0.0829031	0.237293	0.512308
571	0.0830486	0.237702	0.51316
572	0.083194	0.238099	0.513989
573	0.0833395	0.238508	0.51484
574	0.0834849	0.238905	0.515668
575	0.0836304	0.239302	0.516496
576	0.0837758	0.239711	0.517347
577	0.0839212	0.240108	0.518175
578	0.0840667	0.240517	0.519026
579	0.0842121	0.240914	0.519853
580	0.0843576	0.241311	0.52068
581	0.084503	0.24172	0.52153
582	0.0846485	0.242117	0.522357
583	0.0847939	0.242514	0.523183
584	0.0849394	0.242923	0.524034
585	0.0850848	0.24332	0.52486
586	0.0852302	0.243729	0.52571
587	0.0853757	0.244126	0.526536
588	0.0855211	0.244523	0.527361
589	0.0856666	0.244932	0.528211
590	0.085812	0.245329	0.529036
591	0.0859575	0.245727	0.529862
592	0.0861029	0.246124	0.530687
593	0.0862484	0.246532	0.531536
594	0.0863938	0.24693	0.532361
595	0.0865392	0.247327	0.533185
596	0.0866847	0.247735	0.534034
597	0.0868301	0.248133	0.534858
598	0.0869756	0.24853	0.535682
599	0.087121	0.248927	0.536507
600	0.0872665	0.249336	0.537354
601	0.0874119	0.249733	0.538178
602	0.0875574	0.25013	0.539002
603	0.0877028	0.250527	0.539826
604	0.0878482	0.250936	0.540673
605	0.0879937	0.251333	0.541496
606	0.0881391	0.251731	0.542319
607	0.0882846	0.252128	0.543142
608	0.08843	0.252525	0.543965
609	0.0885755	0.252934	0.544812
610	0.0887209	0.253331	0.545634
611	0.0888663	0.253728	0.546456
612	0.0890118	0.254125	0.547279
613	0.0891572	0.254522	0.548101
614	0.0893027	0.254931	0.548947
615	0.0894481	0.255328	0.549768
616	0.0895936	0.255726	0.55059
617	0.089739	0.256123	0.551411
618	0.0898845	0.25652	0.552233
619	0.0900299	0.256917	0.553054
620	0.0901753	0.257314	0.553875
621	0.0903208	0.257723	0.55472
622	0.0904662	0.25812	0.55554
623	0.0906117	0.258517	0.556361
624	0.0907571	0.258915	0.557182
625	0.0909026	0.259312	0.558002
626	0.091048	0.259709	0.558822
627	0.0911935	0.260106	0.559642
628	0.0913389	0.260504	0.560462
629	0.0914843	0.260901	0.561282
630	0.0916298	0.261298	0.562101
631	0.0917752	0.261695	0.562921
632	0.0919207	0.262092	0.56374
633	0.0920661	0.262501	0.564583
634	0.0922116	0.262898	0.565401
635	0.092357	0.263295	0.56622
636	0.0925025	0.263693	0.567039
637	0.0926479	0.26409	0.567857
638	0.0927933	0.264487	0.568676
639	0.0929388	0.264884	0.569494
640	0.0930842	0.265282	0.570312
641	0.0932297	0.265679	0.57113
642	0.0933751	0.266076	0.571948
643	0.0935206	0.266473	0.572765
644	0.093666	0.26687	0.573583
645	0.0938114	0.267268	0.5744
646	0.0939569	0.267665	0.575217
647	0.0941023	0.268051	0.57601
648	0.0942478	0.268448	0.576827
649	0.0943932	0.268845	0.577644
650	0.0945387	0.269242	0.57846
651	0.0946841	0.269639	0.579277
652	0.0948296	0.270037	0.580093
653	0.094975	0.270434	0.580909
654	0.0951204	0.270831	0.581725
655	0.0952659	0.271228	0.582541
656	0.0954113	0.271626	0.583356
657	0.0955568	0.272023	0.584172
658	0.0957022	0.27242	0.584987
659	0.0958477	0.272806	0.585779
660	0.0959931	0.273203	0.586593
661	0.0961386	0.2736	0.587408
662	0.096284	0.273997	0.588223
663	0.0964294	0.274395	0.589037
664	0.0965749	0.274792	0.589852
665	0.0967203	0.275189	0.590666
666	0.0968658	0.275575	0.591457
667	0.0970112	0.275972	0.59227
668	0.0971567	0.276369	0.593084
669	0.0973021	0.276766	0.593898
670	0.0974475	0.277164	0.594711
671	0.097593	0.277549	0.595501
672	0.0977384	0.277947	0.596314
673	0.0978839	0.278344	0.597127
674	0.0980293	0.278741	0.59794
675	0.0981748	0.279138	0.598752
676	0.0983202	0.279524	0.599541
677	0.0984657	0.279921	0.600354
678	0.0986111	0.280318	0.601166
679	0.0987565	0.280716	0.601978
680	0.098902	0.281101	0.602766
681	0.0990474	0.281499	0.603578
682	0.0991929	0.281896	0.604389
683	0.0993383	0.282282	0.605177
684	0.0994838	0.282679	0.605988
685	0.0996292	0.283076	0.6068
686	0.0997747	0.283473	0.60761
687	0.0999201	0.283859	0.608398
688	0.100066	0.284256	0.609208
689	0.100211	0.284654	0.610019
690	0.100356	0.285039	0.610806
691	0.100502	0.285436	0.611616
692	0.100647	0.285834	0.612426
693	0.100793	0.286219	0.613212
694	0.100938	0.286617	0.614022
695	0.101084	0.287014	0.614831
696	0.101229	0.2874	0.615617
697	0.101375	0.287797	0.616426
698	0.10152	0.288183	0.617212
699	0.101665	0.28858	0.618021
700	0.101811	0.288977	0.618829
701	0.101956	0.289363	0.619614
702	0.102102	0.28976	0.620423
703	0.102247	0.290146	0.621208
704	0.102393	0.290543	0.622016
705	0.102538	0.29094	0.622823
706	0.102684	0.291326	0.623608
707	0.102829	0.291723	0.624415
708	0.102974	0.292109	0.625199
709	0.10312	0.292506	0.626007
710	0.103265	0.292892	0.62679
711	0.103411	0.293289	0.627597
712	0.103556	0.293675	0.628381
713	0.103702	0.294072	0.629187
714	0.103847	0.294458	0.629971
715	0.103993	0.294855	0.630777
716	0.104138	0.295241	0.63156
717	0.104283	0.295638	0.632365
718	0.104429	0.296024	0.633148
719	0.104574	0.296421	0.633954
720	0.10472	0.296807	0.634736
721	0.104865	0.297204	0.635541
722	0.105011	0.29759	0.636323
723	0.105156	0.297987	0.637128
724	0.105302	0.298373	0.637909
725	0.105447	0.298759	0.638691
